OrderID,ProductID,UnitPrice,Quantity,Discount,Total_Price
10248,11,14,12,0,168
10248,42,9.8,10,0,98
10248,72,34.8,5,0,174
10249,14,18.6,9,0,167.4
10249,51,42.4,40,0,1696
10250,41,7.7,10,0,77
10250,51,42.4,35,0.15,1261.4
10250,65,16.8,15,0.15,214.2
10251,22,16.8,6,0.05,95.76
10251,57,15.6,15,0.05,222.3
10251,65,16.8,20,0,336
10252,20,64.8,40,0.05,2462.4
10252,33,2,25,0.05,47.5
10252,60,27.2,40,0,1088
10253,31,10,20,0,200
10253,39,14.4,42,0,604.8
10253,49,16,40,0,640
10254,24,3.6,15,0.15,45.9
10254,55,19.2,21,0.15,342.72
10254,74,8,21,0,168
10255,2,15.2,20,0,304
10255,16,13.9,35,0,486.5
10255,36,15.2,25,0,380
10255,59,44,30,0,1320
10256,53,26.2,15,0,393
10256,77,10.4,12,0,124.8
10257,27,35.1,25,0,877.5
10257,39,14.4,6,0,86.4
10257,77,10.4,15,0,156
10258,2,15.2,50,0.2,608
10258,5,17,65,0.2,884
10258,32,25.6,6,0.2,122.88
10259,21,8,10,0,80
10259,37,20.8,1,0,20.8
10260,41,7.7,16,0.25,92.4
10260,57,15.6,50,0,780
10260,62,39.4,15,0.25,443.25
10260,70,12,21,0.25,189
10261,21,8,20,0,160
10261,35,14.4,20,0,288
10262,5,17,12,0.2,163.2
10262,7,24,15,0,360
10262,56,30.4,2,0,60.8
10263,16,13.9,60,0.25,625.5
10263,24,3.6,28,0,100.8
10263,30,20.7,60,0.25,931.5
10263,74,8,36,0.25,216
10264,2,15.2,35,0,532
10264,41,7.7,25,0.15,163.625
10265,17,31.2,30,0,936
10265,70,12,20,0,240
10266,12,30.4,12,0.05,346.56
10267,40,14.7,50,0,735
10267,59,44,70,0.15,2618
10267,76,14.4,15,0.15,183.6
10268,29,99,10,0,990
10268,72,27.8,4,0,111.2
10269,33,2,60,0.05,114
10269,72,27.8,20,0.05,528.2
10270,36,15.2,30,0,456
10270,43,36.8,25,0,920
10271,33,2,24,0,48
10272,20,64.8,6,0,388.8
10272,31,10,40,0,400
10272,72,27.8,24,0,667.2
10273,10,24.8,24,0.05,565.44
10273,31,10,15,0.05,142.5
10273,33,2,20,0,40
10273,40,14.7,60,0.05,837.9
10273,76,14.4,33,0.05,451.44
10274,71,17.2,20,0,344
10274,72,27.8,7,0,194.6
10275,24,3.6,12,0.05,41.04
10275,59,44,6,0.05,250.8
10276,10,24.8,15,0,372
10276,13,4.8,10,0,48
10277,28,36.4,20,0,728
10277,62,39.4,12,0,472.8
10278,44,15.5,16,0,248
10278,59,44,15,0,660
10278,63,35.1,8,0,280.8
10278,73,12,25,0,300
10279,17,31.2,15,0.25,351
10280,24,3.6,12,0,43.2
10280,55,19.2,20,0,384
10280,75,6.2,30,0,186
10281,19,7.3,1,0,7.3
10281,24,3.6,6,0,21.6
10281,35,14.4,4,0,57.6
10282,30,20.7,6,0,124.2
10282,57,15.6,2,0,31.2
10283,15,12.4,20,0,248
10283,19,7.3,18,0,131.4
10283,60,27.2,35,0,952
10283,72,27.8,3,0,83.4
10284,27,35.1,15,0.25,394.875
10284,44,15.5,21,0,325.5
10284,60,27.2,20,0.25,408
10284,67,11.2,5,0.25,42
10285,1,14.4,45,0.2,518.4
10285,40,14.7,40,0.2,470.4
10285,53,26.2,36,0.2,754.56
10286,35,14.4,100,0,1440
10286,62,39.4,40,0,1576
10287,16,13.9,40,0.15,472.6
10287,34,11.2,20,0,224
10287,46,9.6,15,0.15,122.4
10288,54,5.9,10,0.1,53.1
10288,68,10,3,0.1,27
10289,3,8,30,0,240
10289,64,26.6,9,0,239.4
10290,5,17,20,0,340
10290,29,99,15,0,1485
10290,49,16,15,0,240
10290,77,10.4,10,0,104
10291,13,4.8,20,0.1,86.4
10291,44,15.5,24,0.1,334.8
10291,51,42.4,2,0.1,76.32
10292,20,64.8,20,0,1296
10293,18,50,12,0,600
10293,24,3.6,10,0,36
10293,63,35.1,5,0,175.5
10293,75,6.2,6,0,37.2
10294,1,14.4,18,0,259.2
10294,17,31.2,15,0,468
10294,43,36.8,15,0,552
10294,60,27.2,21,0,571.2
10294,75,6.2,6,0,37.2
10295,56,30.4,4,0,121.6
10296,11,16.8,12,0,201.6
10296,16,13.9,30,0,417
10296,69,28.8,15,0,432
10297,39,14.4,60,0,864
10297,72,27.8,20,0,556
10298,2,15.2,40,0,608
10298,36,15.2,40,0.25,456
10298,59,44,30,0.25,990
10298,62,39.4,15,0,591
10299,19,7.3,15,0,109.5
10299,70,12,20,0,240
10300,66,13.6,30,0,408
10300,68,10,20,0,200
10301,40,14.7,10,0,147
10301,56,30.4,20,0,608
10302,17,31.2,40,0,1248
10302,28,36.4,28,0,1019.2
10302,43,36.8,12,0,441.6
10303,40,14.7,40,0.1,529.2
10303,65,16.8,30,0.1,453.6
10303,68,10,15,0.1,135
10304,49,16,30,0,480
10304,59,44,10,0,440
10304,71,17.2,2,0,34.4
10305,18,50,25,0.1,1125
10305,29,99,25,0.1,2227.5
10305,39,14.4,30,0.1,388.8
10306,30,20.7,10,0,207
10306,53,26.2,10,0,262
10306,54,5.9,5,0,29.5
10307,62,39.4,10,0,394
10307,68,10,3,0,30
10308,69,28.8,1,0,28.8
10308,70,12,5,0,60
10309,4,17.6,20,0,352
10309,6,20,30,0,600
10309,42,11.2,2,0,22.4
10309,43,36.8,20,0,736
10309,71,17.2,3,0,51.6
10310,16,13.9,10,0,139
10310,62,39.4,5,0,197
10311,42,11.2,6,0,67.2
10311,69,28.8,7,0,201.6
10312,28,36.4,4,0,145.6
10312,43,36.8,24,0,883.2
10312,53,26.2,20,0,524
10312,75,6.2,10,0,62
10313,36,15.2,12,0,182.4
10314,32,25.6,40,0.1,921.6
10314,58,10.6,30,0.1,286.2
10314,62,39.4,25,0.1,886.5
10315,34,11.2,14,0,156.8
10315,70,12,30,0,360
10316,41,7.7,10,0,77
10316,62,39.4,70,0,2758
10317,1,14.4,20,0,288
10318,41,7.7,20,0,154
10318,76,14.4,6,0,86.4
10319,17,31.2,8,0,249.6
10319,28,36.4,14,0,509.6
10319,76,14.4,30,0,432
10320,71,17.2,30,0,516
10321,35,14.4,10,0,144
10322,52,5.6,20,0,112
10323,15,12.4,5,0,62
10323,25,11.2,4,0,44.8
10323,39,14.4,4,0,57.6
10324,16,13.9,21,0.15,248.115
10324,35,14.4,70,0.15,856.8
10324,46,9.6,30,0,288
10324,59,44,40,0.15,1496
10324,63,35.1,80,0.15,2386.8
10325,6,20,6,0,120
10325,13,4.8,12,0,57.6
10325,14,18.6,9,0,167.4
10325,31,10,4,0,40
10325,72,27.8,40,0,1112
10326,4,17.6,24,0,422.4
10326,57,15.6,16,0,249.6
10326,75,6.2,50,0,310
10327,2,15.2,25,0.2,304
10327,11,16.8,50,0.2,672
10327,30,20.7,35,0.2,579.6
10327,58,10.6,30,0.2,254.4
10328,59,44,9,0,396
10328,65,16.8,40,0,672
10328,68,10,10,0,100
10329,19,7.3,10,0.05,69.35
10329,30,20.7,8,0.05,157.32
10329,38,210.8,20,0.05,4005.2
10329,56,30.4,12,0.05,346.56
10330,26,24.9,50,0.15,1058.25
10330,72,27.8,25,0.15,590.75
10331,54,5.9,15,0,88.5
10332,18,50,40,0.2,1600
10332,42,11.2,10,0.2,89.6
10332,47,7.6,16,0.2,97.28
10333,14,18.6,10,0,186
10333,21,8,10,0.1,72
10333,71,17.2,40,0.1,619.2
10334,52,5.6,8,0,44.8
10334,68,10,10,0,100
10335,2,15.2,7,0.2,85.12
10335,31,10,25,0.2,200
10335,32,25.6,6,0.2,122.88
10335,51,42.4,48,0.2,1628.16
10336,4,17.6,18,0.1,285.12
10337,23,7.2,40,0,288
10337,26,24.9,24,0,597.6
10337,36,15.2,20,0,304
10337,37,20.8,28,0,582.4
10337,72,27.8,25,0,695
10338,17,31.2,20,0,624
10338,30,20.7,15,0,310.5
10339,4,17.6,10,0,176
10339,17,31.2,70,0.05,2074.8
10339,62,39.4,28,0,1103.2
10340,18,50,20,0.05,950
10340,41,7.7,12,0.05,87.78
10340,43,36.8,40,0.05,1398.4
10341,33,2,8,0,16
10341,59,44,9,0.15,336.6
10342,2,15.2,24,0.2,291.84
10342,31,10,56,0.2,448
10342,36,15.2,40,0.2,486.4
10342,55,19.2,40,0.2,614.4
10343,64,26.6,50,0,1330
10343,68,10,4,0.05,38
10343,76,14.4,15,0,216
10344,4,17.6,35,0,616
10344,8,32,70,0.25,1680
10345,8,32,70,0,2240
10345,19,7.3,80,0,584
10345,42,11.2,9,0,100.8
10346,17,31.2,36,0.1,1010.88
10346,56,30.4,20,0,608
10347,25,11.2,10,0,112
10347,39,14.4,50,0.15,612
10347,40,14.7,4,0,58.8
10347,75,6.2,6,0.15,31.62
10348,1,14.4,15,0.15,183.6
10348,23,7.2,25,0,180
10349,54,5.9,24,0,141.6
10350,50,13,15,0.1,175.5
10350,69,28.8,18,0.1,466.56
10351,38,210.8,20,0.05,4005.2
10351,41,7.7,13,0,100.1
10351,44,15.5,77,0.05,1133.825
10351,65,16.8,10,0.05,159.6
10352,24,3.6,10,0,36
10352,54,5.9,20,0.15,100.3
10353,11,16.8,12,0.2,161.28
10353,38,210.8,50,0.2,8432
10354,1,14.4,12,0,172.8
10354,29,99,4,0,396
10355,24,3.6,25,0,90
10355,57,15.6,25,0,390
10356,31,10,30,0,300
10356,55,19.2,12,0,230.4
10356,69,28.8,20,0,576
10357,10,24.8,30,0.2,595.2
10357,26,24.9,16,0,398.4
10357,60,27.2,8,0.2,174.08
10358,24,3.6,10,0.05,34.2
10358,34,11.2,10,0.05,106.4
10358,36,15.2,20,0.05,288.8
10359,16,13.9,56,0.05,739.48
10359,31,10,70,0.05,665
10359,60,27.2,80,0.05,2067.2
10360,28,36.4,30,0,1092
10360,29,99,35,0,3465
10360,38,210.8,10,0,2108
10360,49,16,35,0,560
10360,54,5.9,28,0,165.2
10361,39,14.4,54,0.1,699.84
10361,60,27.2,55,0.1,1346.4
10362,25,11.2,50,0,560
10362,51,42.4,20,0,848
10362,54,5.9,24,0,141.6
10363,31,10,20,0,200
10363,75,6.2,12,0,74.4
10363,76,14.4,12,0,172.8
10364,69,28.8,30,0,864
10364,71,17.2,5,0,86
10365,11,16.8,24,0,403.2
10366,65,16.8,5,0,84
10366,77,10.4,5,0,52
10367,34,11.2,36,0,403.2
10367,54,5.9,18,0,106.2
10367,65,16.8,15,0,252
10367,77,10.4,7,0,72.8
10368,21,8,5,0.1,36
10368,28,36.4,13,0.1,425.88
10368,57,15.6,25,0,390
10368,64,26.6,35,0.1,837.9
10369,29,99,20,0,1980
10369,56,30.4,18,0.25,410.4
10370,1,14.4,15,0.15,183.6
10370,64,26.6,30,0,798
10370,74,8,20,0.15,136
10371,36,15.2,6,0.2,72.96
10372,20,64.8,12,0.25,583.2
10372,38,210.8,40,0.25,6324
10372,60,27.2,70,0.25,1428
10372,72,27.8,42,0.25,875.7
10373,58,10.6,80,0.2,678.4
